,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
369,   R$ 2.100 /Mês  ,  1   Quarto  ,"Praça Barão de Itaqui, 755 - Vila Gomes Cardim, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  , Vila Gomes Cardim,"Praça Barão de Itaqui, 755"
370,   R$ 5.500 /Mês    R$ 1.060.000   ,  3   Quartos  ,"Rua Ministro Ferreira Alves - Perdizes, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  89   m²  , Perdizes,Rua Ministro Ferreira Alves
371,   R$ 650 /Mês  ,  1   Quarto  ,"Rua Tabor, 255 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  16   m²  , Ipiranga,"Rua Tabor, 255"
372,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Professor Pedro da Cunha, 28 - Perdizes, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  13   m²  , Perdizes,"Rua Professor Pedro da Cunha, 28"
373,   R$ 690 /Mês  ,  1   Quarto  ,"Rua Doutora Neyde Apparecida Sollitto, 256D - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  , Vila Clementino,"Rua Doutora Neyde Apparecida Sollitto, 256D"
374,   R$ 2.300 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria, 539 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  , Vila Clementino,"Rua Doutor Diogo de Faria, 539"
375,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Tutóia, 839 - Vila Mariana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  78   m²  , Vila Mariana,"Rua Tutóia, 839"
376,   R$ 3.000 /Mês    R$ 650.000   ,  1   Quarto  ,"Avenida Angélica - Santa Cecília, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  40   m²  , Santa Cecília,Avenida Angélica
377,   R$ 1.800 /Mês  ,  1   Quarto  ,"Rua Doutor Plínio Barreto, 95 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  54   m²  , Bela Vista,"Rua Doutor Plínio Barreto, 95"
378,   R$ 3.250 /Mês  ,  3   Quartos  ,"Rua Treze de Maio, 1838 - Bela Vista, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  116   m²  , Bela Vista,"Rua Treze de Maio, 1838"
379,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Maestro Cardim, 266 - Liberdade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  , Liberdade,"Rua Maestro Cardim, 266"
380,   R$ 1.700 /Mês  ,  1   Quarto  ,"Rua Aurora, 873 - Santa Efigênia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  36   m²  , Santa Efigênia,"Rua Aurora, 873"
381,   R$ 2.900 /Mês  ,  2   Quartos  ,"Rua Canário, 981 - Moema, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  50   m²  , Moema,"Rua Canário, 981"
382,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Vinte e Cinco de Janeiro - Luz, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  44   m²  , Luz,Rua Vinte e Cinco de Janeiro
383,   R$ 7.500 /Mês  ,  3   Quartos  ,"Rua Alexandre Dumas, 1410 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",  5   Banheiros  ,  2   Vagas  ,  143   m²  , Chácara Santo Antônio (Zona Sul),"Rua Alexandre Dumas, 1410"
384,   R$ 7.000 /Mês  ,  4   Quartos  ,"Rua Barão do Triunfo, 117 - Brooklin Paulista, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  169   m²  , Brooklin Paulista,"Rua Barão do Triunfo, 117"
385,   R$ 2.300 /Mês    R$ 575.000   ,  1   Quarto  ,"Rua Balthazar da Veiga - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  37   m²  , Vila Nova Conceição,Rua Balthazar da Veiga
386,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Guaraiúva - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  85   m²  , Cidade Monções,Rua Guaraiúva
