,rent,rooms,address,bathroom,parking,area,suburb,street
0,7000,  2  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5  ,  3  ,  276  ,Campo Belo,"Rua Volta Redonda, 757"
1,1650,  2  ,"Rua Professor Demóstenes Batista Figueira Marques, 10 - Cambuci, São Paulo - SP",  1  ,  1  ,  60  ,Cambuci,"Rua Professor Demóstenes Batista Figueira Marques, 10"
2,2400,  1  ,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",  1  ,  1  ,  45  ,Cerqueira César,"Rua Cristiano Viana, 463"
3,1900,  2  ,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",  1  ,  1  ,  42  ,Bom Retiro,"Rua Afonso Pena, 560"
4,1900,  2  ,"Rua Araquém, 19 - Vila Mascote, São Paulo - SP",  3  ,  1  ,  84  ,Vila Mascote,"Rua Araquém, 19"
5,1900,  1  ,"Rua Adolfo Gordo, 52 - Campos Elíseos, São Paulo - SP",  1  ,  1  ,  37  ,Campos Elíseos,"Rua Adolfo Gordo, 52"
6,3400,  2  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  130  ,Jardim Paulista,"Rua Caconde, 310"
7,3400,  2  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2  ,  2  ,  88  ,Sumarezinho,"Rua Oscar Caravelas, 280"
8,4200,  2  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  60  ,Vila Olímpia,"Rua Helena, 52"
9,2500,  1  ,"Avenida Vereador José Diniz, 3100 - Santo Amaro, São Paulo - SP",  1  ,  1  ,  35  ,Santo Amaro,"Avenida Vereador José Diniz, 3100"
10,1800,  2  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1  ,  1  ,  62  ,Bosque da Saúde,Avenida Itaboraí
11,4574,  3  ,"Rua Viradouro, 96 - Itaim Bibi, São Paulo - SP",  2  ,  1  ,  100  ,Itaim Bibi,"Rua Viradouro, 96"
12,2000,  3  ,"Rua Eli - Vila Maria Baixa, São Paulo - SP",  2  ,  1  ,  73  ,Vila Maria Baixa,Rua Eli
13,4800,  3  ,"Rua Barão de Jaceguai, 1305 - Campo Belo, São Paulo - SP",  3  ,  2  ,  130  ,Campo Belo,"Rua Barão de Jaceguai, 1305"
14,2700,  1  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1  ,  1  ,  33  ,Consolação,"Rua da Consolação, 1515"
15,5400,  2  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  72  ,Jardim Paulista,"Rua Peixoto Gomide, 596"
16,2900,  3  ,"Avenida Moaci, 780 - Planalto Paulista, São Paulo - SP",  3  ,  1  ,  99  ,Planalto Paulista,"Avenida Moaci, 780"
17,1800,  2  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2  ,  2  ,  80  ,Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
18,4985,  2  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3  ,  2  ,  86  ,Vila Nova Conceição,"Rua Silva Correia, 125"
19,2600,  2  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  91  ,Jardim Paulista,Rua Pamplona
20,3800,  1  ,"Pinheiros, São Paulo - SP",  1  ,  1  ,  44  ,SP,"Pinheiros, São Paulo"
21,2500,  2  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1  ,  1  ,  60  ,Parque Mandaqui,"Rua Judith Zumkeller, 870"
22,2950,  2  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2  ,  1  ,  60  ,Pinheiros,"Rua Padre Carvalho, 68"
23,10000,  4  ,"Rua Caiubi, 1159 - Perdizes, São Paulo - SP",  5  ,  4  ,  180  ,Perdizes,"Rua Caiubi, 1159"
24,8500,  3  ,"Rua Pelotas, 209 - Vila Mariana, São Paulo - SP",  5  ,  3  ,  142  ,Vila Mariana,"Rua Pelotas, 209"
25,14485,  3  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5  ,  3  ,  211  ,Vila Nova Conceição,"Rua Inajaroba, 17"
26,1800,  1  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2  ,  1  ,  37  ,Vila da Saúde,Rua dos Caciques
27,3800,  2  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2  ,  2  ,  64  ,Lapa,"Rua Faustolo, 724"
28,5500,  3  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4  ,  3  ,  165  ,Boaçava,"Avenida Padre Pereira de Andrade, 545"
29,2000,  2  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  70  ,Vila Olímpia,Avenida Doutor Cardoso de Melo
30,2800,  2  ,"Rua João Ramalho, 717 - Perdizes, São Paulo - SP",  2  ,  1  ,  60  ,Perdizes,"Rua João Ramalho, 717"
31,6100,  2  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2  ,  2  ,  75  ,Cidade Monções,"Rua Sansão Alves dos Santos, 343"
32,2400,  2  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2  ,  1  ,  54  ,Sumaré,"Rua Paris, 415"
33,12000,  3  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5  ,  4  ,  220  ,Vila Cruzeiro,"Rua Visconde de Taunay, 627"
34,3100,  2  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1  ,  2  ,  70  ,Vila Monte Alegre,Avenida Fagundes Filho
35,2800,  2  ,"Rua Martim Francisco, 67 - Santa Cecília, São Paulo - SP",  2  ,  1  ,  50  ,Santa Cecília,"Rua Martim Francisco, 67"
36,2500,  3  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1  ,  2  ,  94  ,Perdizes,"Rua Diana, 675"
37,1700,  2  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1  ,  1  ,  54  ,Vila Mascote,"Avenida Santa Catarina, 1531"
38,1500,  1  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1  ,  --  ,  36  ,Bela Vista,"Rua Doutor Seng, 152"
39,5500,  2  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3  ,  2  ,  78  ,Santo Amaro,"Rua Henri Dunant, 792"
40,4500,  2  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2  ,  2  ,  60  ,Consolação,"Rua Dona Antônia de Queirós, 505"
41,6000,  3  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3  ,  2  ,  97  ,Vila Gertrudes,"Rua Bacaetava, 66"
42,1400,  2  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1  ,  1  ,  45  ,Vila Arriete,Rua João Ferreira de Abreu
43,2880,  1  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1  ,  1  ,  33  ,Santo Amaro,"Rua Henri Dunant, 1066"
44,1900,  1  ,"Pinheiros, São Paulo - SP",  1  ,  --  ,  25  ,SP,"Pinheiros, São Paulo"
45,1800,  3  ,"Avenida Yervant Kissajikian - Vila Constança, São Paulo - SP",  1  ,  1  ,  60  ,Vila Constança,Avenida Yervant Kissajikian
46,850,  1  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1  ,  --  ,  15  ,Jardim Peri Peri,"Rua Plínio Salgado, 245"
47,1400,  1  ,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",  1  ,  1  ,  30  ,Pinheiros,"Rua Butantã, 408"
48,2900,  2  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2  ,  --  ,  75  ,Cerqueira César,"Alameda Santos, 1018"
49,9990,  3  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3  ,  3  ,  156  ,Cidade Monções,"Rua Pensilvânia, 442"
50,3000,  2  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1  ,  1  ,  75  ,Pinheiros,"Rua Teodoro Sampaio, 498"
51,6385,  2  ,"Rua Casa do Ator, 996 - Vila Olímpia, São Paulo - SP",  2  ,  2  ,  100  ,Vila Olímpia,"Rua Casa do Ator, 996"
52,3500,  2  ,"Rua João Cachoeira - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  90  ,Itaim Bibi,Rua João Cachoeira
53,7485,  2  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2  ,  2  ,  110  ,Jardim Europa,"Rua Manuel Guedes, 264"
54,3900,  2  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1  ,  1  ,  54  ,Consolação,"Rua Caio Prado, 363"
55,6000,  3  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3  ,  2  ,  100  ,Brooklin Paulista,"Rua Kansas, 1700"
56,5485,  3  ,"Rua Nebraska, 420 - Brooklin Novo, São Paulo - SP",  1  ,  3  ,  121  ,Brooklin Novo,"Rua Nebraska, 420"
57,2002,  1  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1  ,  1  ,  42  ,Vila Nova Conceição,"Rua Brás Cardoso, , 654"
58,1100,  1  ,"Avenida Afonso Mariano Fagundes, 725 - Saúde, São Paulo - SP",  1  ,  --  ,  12  ,Saúde,"Avenida Afonso Mariano Fagundes, 725"
59,1430,  2  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2  ,  1  ,  54  ,Chácara Nossa Senhora do Bom Conselho,"Rua Nossa Senhora do Bom Conselho, 451"
60,1150,  2  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1  ,  1  ,  46  ,Pedreira,"Rua Inocêncio de Camargo, 41"
61,3100,  3  ,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",  3  ,  1  ,  128  ,Paraíso,"Avenida Bernardino de Campos, 210"
62,3500,  2  ,"Alameda Barros - Santa Cecília, São Paulo - SP",  2  ,  2  ,  78  ,Santa Cecília,Alameda Barros
63,1050,  1  ,"Cidade Vargas, São Paulo - SP",  1  ,  --  ,  10  ,SP,"Cidade Vargas, São Paulo"
64,1500,  3  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1  ,  1  ,  63  ,Jardim Vila Formosa,Rua Jorge Ogushi
65,2300,  1  ,"Praça da República, 401 - República, São Paulo - SP",  1  ,  1  ,  30  ,República,"Praça da República, 401"
66,2000,  2  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1  ,  --  ,  85  ,Itaim Bibi,"Rua Tabapuã, 665"
67,1800,  2  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1  ,  --  ,  46  ,Liberdade,"Rua Tamandaré, 464"
68,5885,  3  ,"Rua Brasília, 45 - Itaim Bibi, São Paulo - SP",  2  ,  3  ,  120  ,Itaim Bibi,"Rua Brasília, 45"
69,5485,  3  ,"Rua Marechal Deodoro, 500 - Santo Amaro, São Paulo - SP",  4  ,  2  ,  126  ,Santo Amaro,"Rua Marechal Deodoro, 500"
70,2000,  2  ,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",  2  ,  1  ,  81  ,Vila Pompéia,"Rua Raul Pompéia, 745"
71,8000,  3  ,"Alameda dos Arapanés, 628 - Moema, São Paulo - SP",  5  ,  3  ,  198  ,Moema,"Alameda dos Arapanés, 628"
72,1600,  2  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1  ,  --  ,  60  ,Bom Retiro,"Rua Guarani, 460"
73,1400,  1  ,"Rua Barão de Santa Branca - Parque Colonial, São Paulo - SP",  1  ,  1  ,  30  ,Parque Colonial,Rua Barão de Santa Branca
74,15000,  4  ,"Rua Edson, 728 - Campo Belo, São Paulo - SP",  5  ,  4  ,  230  ,Campo Belo,"Rua Edson, 728"
75,4000,  3  ,"Rua Sócrates, 161 - Vila Sofia, São Paulo - SP",  3  ,  2  ,  105  ,Vila Sofia,"Rua Sócrates, 161"
76,3050,  1  ,"Rua Luís Correia de Melo, 92 - Vila Cruzeiro, São Paulo - SP",  1  ,  1  ,  45  ,Vila Cruzeiro,"Rua Luís Correia de Melo, 92"
77,4000,  1  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  1  ,  1  ,  42  ,Pinheiros,"Rua Eugênio de Medeiros, 288"
78,2500,  3  ,"Rua Camillo Nader, 175 - Vila Morumbi, São Paulo - SP",  3  ,  2  ,  125  ,Vila Morumbi,"Rua Camillo Nader, 175"
79,990,  1  ,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",  1  ,  --  ,  24  ,Carandiru,"Rua Chico Pontes, 184"
80,2250,  1  ,"Rua Dona Antônia de Queirós - Consolação, São Paulo - SP",  1  ,  1  ,  39  ,Consolação,Rua Dona Antônia de Queirós
82,2500,  3  ,"Rua Ipanema, 67 - Mooca, São Paulo - SP",  2  ,  1  ,  63  ,Mooca,"Rua Ipanema, 67"
83,2200,  2  ,"Rua Agostinho Gomes, 1326 - Ipiranga, São Paulo - SP",  1  ,  1  ,  62  ,Ipiranga,"Rua Agostinho Gomes, 1326"
84,4250,  1  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  2  ,  1  ,  52  ,Cidade Monções,"Rua George Ohm, 330"
85,4000,  1  ,"Rua Nova York, 245 - Brooklin Paulista, São Paulo - SP",  1  ,  1  ,  43  ,Brooklin Paulista,"Rua Nova York, 245"
86,2800,  3  ,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",  2  ,  2  ,  79  ,Liberdade,"Rua Galvão Bueno, 499"
87,1000,  1  ,"Rua Doutor Cesário Mota Júnior - Vila Buarque, São Paulo - SP",  1  ,  --  ,  26  ,Vila Buarque,Rua Doutor Cesário Mota Júnior
88,2700,  3  ,"Avenida Albert Bartholome, 472 - Jardim das Vertentes, São Paulo - SP",  1  ,  1  ,  82  ,Jardim das Vertentes,"Avenida Albert Bartholome, 472"
89,700,  1  ,"Rua Humaitá, 619 - Bela Vista, São Paulo - SP",  1  ,  --  ,  32  ,Bela Vista,"Rua Humaitá, 619"
90,2200,  1  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1  ,  1  ,  48  ,Bela Vista,Rua Itararé
91,6000,  1  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  2  ,  2  ,  60  ,Pinheiros,"Rua Eugênio de Medeiros, 288"
92,2290,  2  ,"Avenida Onze de Junho, 730 - Vila Clementino, São Paulo - SP",  2  ,  1  ,  53  ,Vila Clementino,"Avenida Onze de Junho, 730"
93,7985,  3  ,"Rua Nova York, 539 - Brooklin Paulista, São Paulo - SP",  2  ,  2  ,  120  ,Brooklin Paulista,"Rua Nova York, 539"
94,2190,  1  ,"Rua Cristiano Viana, 950 - Cerqueira César, São Paulo - SP",  1  ,  --  ,  25  ,Cerqueira César,"Rua Cristiano Viana, 950"
95,2100,  2  ,"Rua João Miguel Jarra, 298 - Vila Madalena, São Paulo - SP",  1  ,  1  ,  48  ,Vila Madalena,"Rua João Miguel Jarra, 298"
96,4500,  2  ,"Rua João Cachoeira, 250 - Vila Nova Conceição, São Paulo - SP",  3  ,  1  ,  90  ,Vila Nova Conceição,"Rua João Cachoeira, 250"
97,2500,  2  ,"Rua Fidalga, 720 - Pinheiros, São Paulo - SP",  2  ,  2  ,  62  ,Pinheiros,"Rua Fidalga, 720"
98,2500,  1  ,"Rua Aurora, 756 - Santa Efigênia, São Paulo - SP",  1  ,  1  ,  30  ,Santa Efigênia,"Rua Aurora, 756"
99,1550,  2  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1  ,  1  ,  57  ,Rio Pequeno,"Avenida Escola Politécnica, 2200"
100,4200,  3  ,"Avenida Doutor Mário Vilas Boas Rodrigues, 161 - Jardim Dom Bosco, São Paulo - SP",  3  ,  2  ,  130  ,Jardim Dom Bosco,"Avenida Doutor Mário Vilas Boas Rodrigues, 161"
101,4400,  3  ,"Rua Arruda Alvim - Pinheiros, São Paulo - SP",  3  ,  2  ,  120  ,Pinheiros,Rua Arruda Alvim
102,5785,  3  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2  ,  2  ,  116  ,Perdizes,"Rua Itapicuru, 380"
103,2000,  2  ,"Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",  2  ,  1  ,  56  ,Vila Nova Conceição,"Rua Comendador Miguel Calfat, 62"
104,4700,  3  ,"Rua Carlos Weber, 499 - Vila Leopoldina, São Paulo - SP",  4  ,  2  ,  125  ,Vila Leopoldina,"Rua Carlos Weber, 499"
105,14490,  3  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5  ,  3  ,  211  ,Vila Nova Conceição,"Rua Inajaroba, 17"
106,5790,  3  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2  ,  2  ,  116  ,Perdizes,"Rua Itapicuru, 380"
107,800,  1  ,"Rua Gomes de Carvalho, 1005 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  30  ,Vila Olímpia,"Rua Gomes de Carvalho, 1005"
108,3300,  3  ,"Rua Conselheiro Brotero, 823 - Santa Cecília, São Paulo - SP",  3  ,  2  ,  88  ,Santa Cecília,"Rua Conselheiro Brotero, 823"
109,1200,  2  ,"Cidade Satélite Santa Bárbara, São Paulo - SP",  1  ,  1  ,  47  ,SP,"Cidade Satélite Santa Bárbara, São Paulo"
110,4500,  3  ,"Rua Sabará, 410 - Higienópolis, São Paulo - SP",  3  ,  1  ,  120  ,Higienópolis,"Rua Sabará, 410"
111,1200,  1  ,"Rua Luís Góis, 2172 - Mirandópolis, São Paulo - SP",  1  ,  --  ,  35  ,Mirandópolis,"Rua Luís Góis, 2172"
112,1300,  2  ,"Rua Padre Bento Ibañez - Jardim Prudência, São Paulo - SP",  1  ,  1  ,  45  ,Jardim Prudência,Rua Padre Bento Ibañez
113,2500,  2  ,"Rua Iaiá - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  52  ,Itaim Bibi,Rua Iaiá
114,7400,  3  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5  ,  2  ,  124  ,Vila Uberabinha,Rua Araguari
115,1200,  1  ,"Rua Ática, 420 - Jardim Brasil (Zona Sul), São Paulo - SP",  1  ,  1  ,  35  ,Jardim Brasil (Zona Sul),"Rua Ática, 420"
116,4500,  1  ,"Rua Doutor Virgílio de Carvalho Pinto, 262 - Pinheiros, São Paulo - SP",  1  ,  1  ,  30  ,Pinheiros,"Rua Doutor Virgílio de Carvalho Pinto, 262"
117,4990,  2  ,"Rua Capote Valente, 467 - Pinheiros, São Paulo - SP",  2  ,  1  ,  72  ,Pinheiros,"Rua Capote Valente, 467"
118,4000,  1  ,"Avenida Chibarás, 44 - Moema, São Paulo - SP",  2  ,  1  ,  68  ,Moema,"Avenida Chibarás, 44"
119,55000,  4  ,"Rua Inhambú - Vila Uberabinha, São Paulo - SP",  6  ,  5  ,  403  ,Vila Uberabinha,Rua Inhambú
120,2300,  1  ,"Rua Major Sertório, 321 - Vila Buarque, São Paulo - SP",  1  ,  1  ,  37  ,Vila Buarque,"Rua Major Sertório, 321"
121,5044,  2  ,"Rua Pais Leme, 400 - Pinheiros, São Paulo - SP",  2  ,  1  ,  68  ,Pinheiros,"Rua Pais Leme, 400"
122,3500,  3  ,"Alameda Ribeirão Preto, 118 - Bela Vista, São Paulo - SP",  3  ,  1  ,  100  ,Bela Vista,"Alameda Ribeirão Preto, 118"
123,2500,  2  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1  ,  1  ,  50  ,Vila Buarque,"Rua Marquês de Itu, 181"
124,1900,  1  ,"Rua Constantino de Sousa, 1032 - Campo Belo, São Paulo - SP",  2  ,  1  ,  45  ,Campo Belo,"Rua Constantino de Sousa, 1032"
125,2800,  3  ,"Rua Artur Prado, 275 - Bela Vista, São Paulo - SP",  2  ,  --  ,  78  ,Bela Vista,"Rua Artur Prado, 275"
126,2000,  1  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1  ,  1  ,  32  ,Vila Mariana,"Rua Cubatão, 1140"
127,1350,  1  ,"Rua da Consolação, 927 - Consolação, São Paulo - SP",  1  ,  --  ,  27  ,Consolação,"Rua da Consolação, 927"
128,7000,  4  ,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP",  3  ,  3  ,  160  ,Vila Mariana,"Rua França Pinto, 537"
129,2200,  2  ,"Rua Antônio de Macedo Soares, 1234 - Campo Belo, São Paulo - SP",  2  ,  1  ,  70  ,Campo Belo,"Rua Antônio de Macedo Soares, 1234"
130,4000,  2  ,"Alameda Tietê, 353 - Cerqueira César, São Paulo - SP",  3  ,  1  ,  100  ,Cerqueira César,"Alameda Tietê, 353"
131,3000,  1  ,"Rua Guarará - Jardim Paulista, São Paulo - SP",  1  ,  1  ,  48  ,Jardim Paulista,Rua Guarará
132,1500,  2  ,"Rua Santa Crescência, 85 - Ferreira, São Paulo - SP",  1  ,  1  ,  65  ,Ferreira,"Rua Santa Crescência, 85"
133,4040,  3  ,"Rua Cristiano Viana, 505 - Cerqueira César, São Paulo - SP",  2  ,  1  ,  85  ,Cerqueira César,"Rua Cristiano Viana, 505"
134,2150,  1  ,"Rua Júlio Diniz, 145 - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  56  ,Vila Olímpia,"Rua Júlio Diniz, 145"
135,1900,  2  ,"Rua José Antônio Coelho, 407 - Vila Mariana, São Paulo - SP",  1  ,  1  ,  61  ,Vila Mariana,"Rua José Antônio Coelho, 407"
136,3300,  2  ,"Avenida Moaci - Planalto Paulista, São Paulo - SP",  2  ,  1  ,  70  ,Planalto Paulista,Avenida Moaci
137,2700,  3  ,"Rua José Ramon Urtiza, 181 - Vila Andrade, São Paulo - SP",  4  ,  2  ,  95  ,Vila Andrade,"Rua José Ramon Urtiza, 181"
138,1050,  1  ,"Rua Santo Amaro, 240 - Bela Vista, São Paulo - SP",  1  ,  --  ,  31  ,Bela Vista,"Rua Santo Amaro, 240"
139,3200,  2  ,"Rua Alvorada - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  70  ,Vila Olímpia,Rua Alvorada
140,1900,  1  ,"Rua da Glória - Liberdade, São Paulo - SP",  1  ,  --  ,  30  ,Liberdade,Rua da Glória
141,1500,  2  ,"Avenida Ramalho Ortigão, 200 - Vila Gumercindo, São Paulo - SP",  1  ,  --  ,  100  ,Vila Gumercindo,"Avenida Ramalho Ortigão, 200"
142,1000,  2  ,"Rua Ataualpa, 144 - Parque Novo Mundo, São Paulo - SP",  1  ,  --  ,  60  ,Parque Novo Mundo,"Rua Ataualpa, 144"
143,3700,  3  ,"Rua Moreira Cardoso - Jardim Aeroporto, São Paulo - SP",  3  ,  2  ,  150  ,Jardim Aeroporto,Rua Moreira Cardoso
144,12000,  4  ,"Rua Topázio, 947 - Vila Mariana, São Paulo - SP",  5  ,  4  ,  390  ,Vila Mariana,"Rua Topázio, 947"
145,900,  2  ,"Avenida Professor Cardozo de Mello Neto, 136 - Jardim Santa Terezinha (Pedreira), São Paulo - SP",  2  ,  --  ,  50  ,Jardim Santa Terezinha (Pedreira),"Avenida Professor Cardozo de Mello Neto, 136"
146,20000,  4  ,"Rua Palmares, 650 - Brooklin Paulista, São Paulo - SP",  5  ,  4  ,  647  ,Brooklin Paulista,"Rua Palmares, 650"
147,1300,  3  ,"Rua Rifaina, 550 - Vila Anglo Brasileira, São Paulo - SP",  1  ,  --  ,  60  ,Vila Anglo Brasileira,"Rua Rifaina, 550"
148,45000,  4  ,"Jardim Europa, São Paulo - SP",  4  ,  4  ,  445  ,SP,"Jardim Europa, São Paulo"
149,6500,  4  ,"Rua Frei Henrique de Coimbra - Água Branca, São Paulo - SP",  3  ,  5  ,  400  ,Água Branca,Rua Frei Henrique de Coimbra
150,8000,  2  ,"Rua Cerro Corá, 100 - Vila Romana, São Paulo - SP",  2  ,  1  ,  90  ,Vila Romana,"Rua Cerro Corá, 100"
151,2200,  3  ,"Rua Clotilde Orsolini Morana, 112 - Jardim Sandra, São Paulo - SP",  2  ,  3  ,  340  ,Jardim Sandra,"Rua Clotilde Orsolini Morana, 112"
152,9500,  2  ,"Rua Bernarda Luiz, 164 - Vila Madalena, São Paulo - SP",  3  ,  --  ,  180  ,Vila Madalena,"Rua Bernarda Luiz, 164"
153,8000,  11  ,"Rua Estevão Baião - Vila Congonhas, São Paulo - SP",  5  ,  3  ,  369  ,Vila Congonhas,Rua Estevão Baião
154,4500,  2  ,"Rua Enxovia - Vila São Francisco (Zona Sul), São Paulo - SP",  2  ,  2  ,  160  ,Vila São Francisco (Zona Sul),Rua Enxovia
155,3000,  5  ,"Rua César Pena Ramos, 1744 - Vila Santa Maria, São Paulo - SP",  3  ,  1  ,  165  ,Vila Santa Maria,"Rua César Pena Ramos, 1744"
156,1100,  1  ,"Parque São Luís, São Paulo - SP",  1  ,  --  ,  40  ,SP,"Parque São Luís, São Paulo"
157,3200,  2  ,"Rua Lydia Simões Cabral - Indianópolis, São Paulo - SP",  2  ,  1  ,  90  ,Indianópolis,Rua Lydia Simões Cabral
158,1096,  1  ,"Rua Barão de Melgaço, 29 - Real Parque, São Paulo - SP",  1  ,  --  ,  50  ,Real Parque,"Rua Barão de Melgaço, 29"
159,30000,  4  ,"Vila Morumbi, São Paulo - SP",  5  ,  10  ,  713  ,SP,"Vila Morumbi, São Paulo"
160,20000,  4  ,"Rua Simpatia - Jardim das Bandeiras, São Paulo - SP",  3  ,  4  ,  650  ,Jardim das Bandeiras,Rua Simpatia
161,4300,  3  ,"Rua dos Chanes - Indianópolis, São Paulo - SP",  4  ,  2  ,  106  ,Indianópolis,Rua dos Chanes
162,1250,  2  ,"Rua Joaquim do Lago, 182 - Balneário Mar Paulista, São Paulo - SP",  1  ,  1  ,  50  ,Balneário Mar Paulista,"Rua Joaquim do Lago, 182"
163,7000,  3  ,"Avenida Cardeal Motta - City América, São Paulo - SP",  5  ,  5  ,  350  ,City América,Avenida Cardeal Motta
164,13000,  4  ,"Rua Jorge Tibiriçá - Vila Mariana, São Paulo - SP",  5  ,  4  ,  182  ,Vila Mariana,Rua Jorge Tibiriçá
165,2000,  2  ,"Rua Correia de Lemos - Chácara Inglesa, São Paulo - SP",  2  ,  --  ,  90  ,Chácara Inglesa,Rua Correia de Lemos
166,11000,  4  ,"Rua Fonseca da Costa - Bosque da Saúde, São Paulo - SP",  6  ,  12  ,  650  ,Bosque da Saúde,Rua Fonseca da Costa
167,45000,  4  ,"Rua Campo Verde - Jardim Europa, São Paulo - SP",  6  ,  4  ,  490  ,Jardim Europa,Rua Campo Verde
168,2900,  2  ,"Rua Rondinha, 101 - Chácara Inglesa, São Paulo - SP",  3  ,  1  ,  325  ,Chácara Inglesa,"Rua Rondinha, 101"
169,800,  1  ,"Rua Jorge Dias, 94 - Socorro, São Paulo - SP",  1  ,  --  ,  30  ,Socorro,"Rua Jorge Dias, 94"
170,2990,  5  ,"Rua Piraí - Alto da Lapa, São Paulo - SP",  1  ,  --  ,  100  ,Alto da Lapa,Rua Piraí
171,1500,  2  ,"Rua Francisco Riva - Conjunto Habitacional Barreira Grande, São Paulo - SP",  1  ,  3  ,  120  ,Conjunto Habitacional Barreira Grande,Rua Francisco Riva
