,rent,rooms,address,bathroom,parking,area,suburb,street
904,2500,  1  ,"Alameda Campinas, , 675 - Jardim Paulista, São Paulo - SP",  1  ,  1  ,  33  ,Jardim Paulista,"Alameda Campinas, , 675"
905,2900,  2  ,"Consolação, São Paulo - SP",  1  ,  1  ,  45  ,SP,"Consolação, São Paulo"
906,3400,  1  ,"Rua Urussuí - Itaim Bibi, São Paulo - SP",  1  ,  1  ,  42  ,Itaim Bibi,Rua Urussuí
907,1700,  1  ,"Rua Fidêncio Ramos, 420 - Vila Olímpia, São Paulo - SP",  1  ,  1  ,  31  ,Vila Olímpia,"Rua Fidêncio Ramos, 420"
908,2000,  1  ,"Avenida Rouxinol, , 174 - Indianópolis, São Paulo - SP",  1  ,  1  ,  42  ,Indianópolis,"Avenida Rouxinol, , 174"
909,9500,  2  ,"Alameda Ministro Rocha Azevedo, , 523 - Cerqueira César, São Paulo - SP",  2  ,  2  ,  61  ,Cerqueira César,"Alameda Ministro Rocha Azevedo, , 523"
910,1300,  1  ,"Alameda Glete, 1003 - Campos Elíseos, São Paulo - SP",  1  ,  --  ,  38  ,Campos Elíseos,"Alameda Glete, 1003"
911,950,  1  ,"Rua Tenente Otávio Gomes - Aclimação, São Paulo - SP",  1  ,  --  ,  30  ,Aclimação,Rua Tenente Otávio Gomes
912,1200,  1  ,"Pinheiros, São Paulo - SP",  1  ,  --  ,  22  ,SP,"Pinheiros, São Paulo"
913,1890,  --  ,"Rua Cunha Horta - Vila Buarque, São Paulo - SP",  1  ,  1  ,  30  ,Vila Buarque,Rua Cunha Horta
914,950,  1  ,"Rua Itapeva - Bela Vista, São Paulo - SP",  1  ,  --  ,  37  ,Bela Vista,Rua Itapeva
915,1950,  1  ,"Rua Pelotas, 82 - Vila Mariana, São Paulo - SP",  1  ,  --  ,  25  ,Vila Mariana,"Rua Pelotas, 82"
916,1200,  1  ,"Largo do Arouche, 246 - República, São Paulo - SP",  1  ,  --  ,  45  ,República,"Largo do Arouche, 246"
917,900,  1  ,"Rua Moacir Miguel da Silva - Jardim Bonfiglioli, São Paulo - SP",  1  ,  --  ,  35  ,Jardim Bonfiglioli,Rua Moacir Miguel da Silva
